Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2022,5,2022/05/01,Moraga,251,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,6,2022/06/01,Foster City,57,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,6,2022/06/01,Aptos,14,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,9,2022/09/01,San Mateo,1060,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Cupertino,242,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,East Palo Alto,5,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,11,2022/11/01,Boulder Creek,8,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,12,2022/12/01,San Carlos,92,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,12,2023/12/01,Belmont,28,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,12,2023/12/01,Moraga,89,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Fremont,84,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,Belmont,315,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Carmel Valley,20,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,2,2021/02/01,Orinda,12,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Montara,77,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Atherton,193,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,8,2023/08/01,Millbrae,35,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Hillsborough,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,Redwood City,1085,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,9,2022/09/01,Atherton,103,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,Ben Lomond,6,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,11,2022/11/01,Burlingame,5,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Millbrae,21,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,5,2020/05/01,Cupertino,183,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,Santa Clara,32,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,Half Moon,4,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
